Matricula,VIN,Año,Fabricante,Modelo,Categoria,DNI_Propietario
6875 MLY,UU1SUXLWZPB3A744N,2023,Dacia,Sandero,urbanos,49779617-G
SA-5457-BM,W0LS042R4S1MT43CV,1995,Opel,Corsa,urbanos,49779617-G
7580 KBM,JMBBE3NVPHW7TJG3V,2017,Mitsubishi,Outlander,SUV,97794981-Q
B-3740-VP,ZFADYJ0HMNNGNLUJP,1992,Fiat,Panda,urbanos,97794981-Q
5009 LDR,YV1K08CLLKU2JLES7,2019,Volvo,V40,compacto,97794981-Q
SA-8497-GX,SJNVPXACTLYA8NFNH,1990,Nissan,Micra,urbanos,21888134-T
8598 CSS,WVWGH9ZSD4USKM3K1,2004,Volkswagen,Golf,descapotable,21888134-T
7538 GNF,WBACEMTMJ9VUVGUYP,2009,BMW,Serie 3,descapotable,99527122-G
7253 CRV,WDBDK903J44GJVF6E,2004,Mercedes-Benz,Clase A,deportivo,99527122-G
8538 HVZ,ZFAUSYEGYEDGZYKC1,2014,Fiat,Panda,urbanos,99527122-G
BA-7959-AE,WBABU39RSNPB60890,1992,BMW,Serie 3,deportivo,36423736-Q
7507 GSR,TMAZU1C459YJYM0XK,2009,Hyundai,i10,urbanos,36423736-Q
9809 KVX,VF3WKDGNUK639A1WG,2019,Peugeot,308,deportivo,36423736-Q
9143 BMW,VF18S7XF11G0DVSVG,2001,Renault,Laguna,berlina,68298341-W
2579 FCJ,WVWWYGELH6ZPAA2BH,2006,Volkswagen,Passat,berlina,45258769-J
9863 MBN,WF0Y7RA7JNLALVBDT,2022,Ford,Mondeo,berlina,45258769-J
6002 DFZ,VF7FMYFB95MB3UNYR,2005,Citroën,Berlingo,monovolumen,92080530-F
3874 JJW,TMBBRU29KFZWMU156,2015,Skoda,Octavia,berlina,49536088-E
P-3107-KF,WAU8MU36PW89SG6W0,1998,Audi,A4,berlina,49536088-E
CR-7664-OE,SJNYSUA3EMDNGHCD0,1991,Nissan,Micra,urbanos,47008863-Z
GU-8871-CN,W0LCXAGXZV06GPDL5,1997,Opel,Corsa,deportivo,47008863-Z
6986 GWV,UU1DCP50ZAAV6P3T0,2010,Dacia,Sandero,urbanos,47008863-Z
7696 FNZ,UU139Z2VD715AY6M5,2007,Dacia,Sandero,urbanos,40891823-P
6042 LWD,KNAV83T4VNWBKD2HB,2022,Kia,Ceed,deportivo,40891823-P
1689 KCH,WF0JA428FHBGDN8H8,2017,Ford,Fiesta,deportivo,63931070-V
CC-2738-ZF,KNAU8AH5VWCJD5XCP,1998,Kia,Sportage,SUV,63931070-V
SG-9824-VH,WDBE12ZGNRND2KRGE,1994,Mercedes-Benz,Clase C,berlina,63931070-V
PO-8660-ZJ,WF06TVVLVLK1TFWR6,1990,Ford,Fiesta,deportivo,31796783-L
ZA-7449-GU,VF189SJHMWUK0YK84,1998,Renault,Clio,deportivo,31796783-L
LU-6520-OR,VF1E6L0BBV9USEUU3,1997,Renault,Mégane,berlina,31796783-L
1545 KCV,JMZE76REFHKBPUR5Z,2017,Mazda,CX-3,SUV,93661492-H
1251 JMY,YV1M6A1HDGLLL878H,2016,Volvo,V40,compacto,93661492-H
CS-6988-PK,SJNCHCMXST4B8SYNR,1996,Nissan,Micra,urbanos,93661492-H
AL-5494-JX,VSSBEC8D8SELFC8Y2,1995,SEAT,Toledo,berlina,64704290-T
2799 FNZ,VF7KN4LCE7BSDKDD1,2007,Citroën,C3,urbanos,29825789-X
J-3135-DF,WBAR99XYRSHKNX1M5,1995,BMW,Serie 3,cupé,29825789-X
1975 JFX,WAUZERNGTFZE8ZFY1,2015,Audi,A4,sedán,24758401-M
2163 GWC,SB1HKBU4RAUVBRY2D,2010,Toyota,Yaris,urbanos,24758401-M
2720 JRZ,KNAL99VW7GEC6S8PZ,2016,Kia,Ceed,compacto,24758401-M
AV-7846-AP,WBA1D65T0MLVNF78U,1991,BMW,Serie 3,deportivo,18990018-E
7616 DTB,VSS0721PF5FJTF0KL,2005,SEAT,Ibiza,deportivo,66210939-B
8354 GYM,SJNFMD0P1AKMVFC67,2010,Nissan,Micra,deportivo,66210939-B
7562 HDC,KNAWC2PNHBG2T1CNA,2011,Kia,Sportage,SUV,66210939-B
9119 CNK,WVWV47RKN3V95XH4P,2003,Volkswagen,Golf,deportivo,35216047-B
CS-7833-AN,WVWWZXXJHXG9YH21B,1999,Volkswagen,Polo,urbanos,35216047-B
SE-7349-GN,SJNP3HY9HLGPGR5TZ,1990,Nissan,Micra,deportivo,35216047-B
3461 CDV,WF04042BJ3GFTVAWP,2003,Ford,Focus,berlina,68194960-Y
4887 FWC,ZFACVLV5171N81ND5,2007,Fiat,Panda,urbanos,68194960-Y
5691 BXP,WVWGXMV8M246VNL69,2002,Volkswagen,Polo,urbanos,13549644-E
4008 KCH,VF1NEPZMNH941SS5N,2017,Renault,Mégane,berlina,13549644-E
4983 MZS,VF3APT3EEST7XBWCG,2025,Peugeot,5008,SUV,13549644-E
CE-2072-UD,SB14PT14HX59540N2,1999,Toyota,Corolla,sedán,80068599-X
7015 MRX,W0LYZBM5VR8VN15CS,2024,Opel,Mokka,SUV,80068599-X
1095 MJR,SJNDGUN61PRHMDS31,2023,Nissan,Micra,urbanos,79549389-W
LO-5933-FW,VF1JHSC79XS0VNBYV,1999,Renault,Clio,urbanos,69943107-S
8138 FBC,WDBFFSSV06NFC6WLH,2006,Mercedes-Benz,Clase A,compacto,46239869-W
5097 CGJ,JMZ3F7PEZ3FEG49JE,2003,Mazda,Mazda 3,compacto,46239869-W
AV-5511-KB,VSS5Z87A4LRLDRP1U,1990,SEAT,Ibiza,deportivo,76775797-A
1728 MFZ,TMAVSJTURPWZLVJ9E,2023,Hyundai,i10,urbanos,43551057-M
1489 HCB,WVWDJY7C2B2UJEEP6,2011,Volkswagen,Passat,sedán,51438143-T
9998 MWV,WF0CA76C4R9AST3ED,2024,Ford,Kuga,todoterreno,51438143-T
2877 NFR,KNAZJ15EJSW8TPDNS,2025,Kia,Stonic,SUV,51438143-T
4644 BNL,YV1EGHZVV1PKGN2UF,2001,Volvo,V40,compacto,12598740-F
3117 GYM,UU1NJWXEJANX23GES,2010,Dacia,Duster,SUV,12598740-F
5586 HRK,SB1ZD84HKDNW2YE7S,2013,Toyota,Yaris,urbanos,12598740-F
3315 KTJ,WF04KVL9GK3SZF4NM,2019,Ford,Mondeo,sedán,52968155-Y
4942 HZB,TMB11L9HNEA8UN99W,2014,Skoda,Octavia,compacto,76754669-N
6997 BJC,WF0R2Y7441BNXWJRZ,2001,Ford,Mondeo,sedán,77390367-J
7846 CPF,SB1VJNTCL3WLC16G8,2003,Toyota,RAV4,SUV,77390367-J
H-7720-DX,KNABR13XUXW2C19DS,1999,Kia,Sportage,SUV,32732142-Z
T-6454-BE,VF7FPM3HYV4RTV256,1997,Citroën,Berlingo,todoterreno,32732142-Z
Z-5881-AO,VSS8J77T8SXK4E0VK,1995,SEAT,Ibiza,urbanos,49239789-D
5755 JXF,YV1FKD3P2H6HMJFEX,2017,Volvo,V40,compacto,98209984-F
9255 JWN,YV1EGBU4RHHZBK0ZR,2017,Volvo,XC60,SUV,93193564-W
PO-4992-JM,KNAMF1FCUP5E1Y28J,1993,Kia,Sportage,SUV,93193564-W
7500 GCK,VF700UAH18P64U8VA,2008,Citroën,Berlingo,todoterreno,93193564-W
2156 MGN,WVW8UF9GHPHPH5FAC,2023,Volkswagen,Golf,deportivo,85508954-Z
CR-6849-GP,W0LE13X34MKK3SYC9,1991,Opel,Corsa,urbanos,85508954-Z
4260 DFF,JMBD9AM7T4BZWN269,2004,Mitsubishi,Outlander,todoterreno,85508954-Z
9889 DBJ,W0L69KEZE4R73HE69,2004,Opel,Corsa,deportivo,47743019-X
1277 JMF,VF74HEWPKGL18HUYX,2016,Citroën,C3,urbanos,47743019-X
4837 JFX,WBAZL6WYEFNPKC601,2015,BMW,X3,SUV,82156732-L
4261 HFF,YV1YKABK2B23Y9YAC,2011,Volvo,V40,compacto,82156732-L
4653 JZP,WF0PDX98UH4BPG72V,2017,Ford,Mondeo,berlina,87670078-N
9988 GSR,WBA1WK3J0961PFW9X,2009,BMW,Serie 1,compacto,87670078-N
8162 LZZ,SB1U0DV3HNT0NSD24,2022,Toyota,RAV4,SUV,87670078-N
3763 DNP,SB1THXXDP5PA60X2G,2005,Toyota,Corolla,sedán,65344417-Z
3981 BCD,ZFAPRLEEGYSH5KLCG,2000,Fiat,Panda,urbanos,64519782-K
4246 HVZ,ZFA0JKZNKEXG9PN0R,2014,Fiat,Panda,urbanos,64519782-K
CU-5425-BU,TMB10AHDWXJLKBJ7W,1999,Skoda,Fabia,urbanos,13898539-F
SS-1022-XW,WBAPNF9UCNYN7L4FW,1992,BMW,Serie 3,descapotable,55272881-V
4600 HVF,W0L9488XEDSLMCR94,2013,Opel,Insignia,berlina,55272881-V
7525 NFR,UU16UJKVGSPZ5PCS7,2025,Dacia,Duster,SUV,64969152-V
5456 FVJ,W0LW20Z6P7RHSHF49,2007,Opel,Astra,deportivo,64969152-V
8671 FRC,VF1GFT6PZ7AP4PM5Z,2007,Renault,Laguna,sedán,12891698-Z
1296 JTR,ZFATJG4U9GZW9A1Y2,2016,Fiat,500,descapotable,12891698-Z
2048 NCJ,VSSYZLACAS88BRMAW,2025,SEAT,Ibiza,deportivo,12891698-Z
A-2556-ZQ,SJNXUVDY2LV5VBZ1V,1990,Nissan,Micra,deportivo,83216627-M
8573 CDC,WVWW0WD3A2A4UZX4Z,2002,Volkswagen,Passat,berlina,83216627-M
M-5986-HQ,WVWMCN2EYLT0CPH1K,1990,Volkswagen,Polo,urbanos,21609668-H
1418 CYY,VF1B53ZBP4EPSZ69U,2004,Renault,Mégane,compacto,46351683-J
4757 LZZ,WAUEUVAVENMDVY6XD,2022,Audi,Q5,SUV,46351683-J
CS-5244-UT,ZFAL0XG5GWU8NH4XT,1998,Fiat,Panda,urbanos,40412440-Z
4206 JLN,WVWDYUAY1GPRJX586,2016,Volkswagen,Golf,deportivo,11582437-M
1706 GHT,VF7J5DVWE8LVNY4FL,2008,Citroën,C3,urbanos,11582437-M
9605 DDG,ZFA2TF71L4C3KSWN7,2004,Fiat,Panda,urbanos,67936309-J
6090 NGB,TMASL0Z92S3J06D5L,2025,Hyundai,i20,urbanos,67936309-J
H-5336-SM,WVWSAMLPUPN4XGZNS,1993,Volkswagen,Polo,urbanos,27986351-C
8503 BCD,WF0KM09EZYRX7MCUW,2000,Ford,Fiesta,urbanos,27986351-C
4546 JZP,VF3YE92C5H3XN8WWD,2017,Peugeot,208,urbanos,27986351-C
LE-1375-DS,VF1NGMK49PNY60359,1993,Renault,Clio,urbanos,38497435-N
8259 LZZ,VF7CKKHE6NKE3A0UY,2022,Citroën,Berlingo,todoterreno,38497435-N
3955 LGH,JMZGVR3RNLLXXFEKA,2020,Mazda,CX-5,SUV,54370063-H
CR-8562-UG,ZFA0N5C0MLG38S15V,1990,Fiat,Panda,urbanos,87298456-R
4821 GSR,JMB7B61M59H9VSDXF,2009,Mitsubishi,Outlander,SUV,87298456-R
CE-1484-YT,WF0N8CTB1PC3ER2S6,1993,Ford,Fiesta,urbanos,53565837-X
3502 BCY,WAU3RC4EHYXFL1UXD,2000,Audi,A4,sedán,53565837-X
7990 DLD,WVWUF4MGF5ABCPPAD,2005,Volkswagen,Golf,deportivo,91886915-Y
5110 GRM,JMZYZ6TEZ9FV1989Y,2009,Mazda,Mazda 2,urbanos,48224050-L
ML-4164-KS,WVWJ0YD7NVJAMC9V7,1997,Volkswagen,Passat,sedán,99431984-V
3818 KNK,WF06SD9ETJEZXR0PW,2018,Ford,Kuga,SUV,86284938-R
O-8192-WX,VF1XN0SUCWZRRSTYC,1998,Renault,Clio,urbanos,86284938-R
GC-2205-TY,VSSYSZCA2VYDKVBU7,1997,SEAT,Ibiza,deportivo,77417316-Y
TF-1564-FD,ZFAKLBR1CLEJLGGHY,1990,Fiat,Panda,urbanos,65045721-L
8345 GMN,JMBLCHGZH9E2TZJVK,2009,Mitsubishi,Outlander,SUV,65045721-L
9465 CFM,WDB43AK453TSSLWT5,2003,Mercedes-Benz,Clase A,compacto,65045721-L
1136 FXY,SJNT7B7NX7ARXN750,2007,Nissan,Qashqai,SUV,89446834-H
V-3976-DD,VF10ZBTNCWKJ80AAU,1998,Renault,Laguna,sedán,89446834-H
3843 LTP,WAUY23FR4MAM1JHNG,2021,Audi,A4,berlina,89446834-H
8503 BKB,WVWUKD1RZ1R0MX7A8,2001,Volkswagen,Polo,urbanos,77150578-E
4262 GYM,JMZHNSXE6AHPPAEGX,2010,Mazda,Mazda 2,urbanos,77150578-E
5629 HPY,SB196W835DCD1BSZF,2013,Toyota,Corolla,sedán,14943466-K
1246 FGF,W0L3MN9AE6CVRG4U4,2006,Opel,Corsa,urbanos,14943466-K
4365 GFY,UU13Y99TU8XBZFE80,2008,Dacia,Sandero,urbanos,14943466-K
3075 HJC,WDBVF9GN5CUUWLBWZ,2012,Mercedes-Benz,Clase C,berlina,42228357-N
1783 MLY,JMZ41WDBWPRPVZPLM,2023,Mazda,Mazda 3,compacto,42228357-N
7414 HDC,WBAPMNL8LBSKBB9RN,2011,BMW,X1,SUV,42228357-N
ML-1790-YS,WVWD2EHPVXU44C62A,1999,Volkswagen,Passat,berlina,87873577-F
5658 MNC,TMB5YTXTXRU4L98KK,2024,Skoda,Fabia,urbanos,87873577-F
8309 JFX,WDB3TMRN6F5MFVF95,2015,Mercedes-Benz,Clase C,berlina,99502506-K
8725 JTB,WVW91DUPDGUAYSJ5F,2016,Volkswagen,Golf,descapotable,99502506-K
ML-7975-BN,SJN0VCATBN9PFZTZ6,1992,Nissan,Micra,urbanos,99502506-K
6990 MDS,KNATS06FLPJH9U03A,2023,Kia,Sportage,SUV,94080140-C
CO-2939-EI,W0L5Z739XNG32NJ39,1992,Opel,Astra,deportivo,82437505-P
2640 DGX,WAU4TJRZY5KR33ULY,2005,Audi,A3,deportivo,43475826-F
7978 FLV,WAUF04D4K7FFGVNHR,2007,Audi,A3,compacto,43475826-F
5658 MJR,TMAE9DUUKP4EGWUKN,2023,Hyundai,i20,urbanos,43475826-F
2054 FDP,TMB6DV45D69Z14DZ7,2006,Skoda,Fabia,urbanos,78209196-L
1707 CDC,KNA1JWU392Y3N0GZ9,2002,Kia,Rio,urbanos,59547184-T
BA-1926-AL,WBAWNUW9TRB11PDEU,1994,BMW,Serie 3,deportivo,59547184-T
2181 BFJ,W0L2SL62K14PJ3U1R,2001,Opel,Astra,compacto,23830396-G
1284 HVN,SB16VBHT3EWEAJFHX,2014,Toyota,Corolla,compacto,52327380-B
SG-9442-ZJ,W0LKK6JNSWR4RKNUC,1998,Opel,Astra,compacto,52327380-B
1483 GYD,VF3WEESWSAMFH00JJ,2010,Peugeot,3008,SUV,52327380-B
7172 CKB,WBAAPRV2Z3VEVDJ2W,2003,BMW,X3,SUV,55424859-B
J-1654-OU,W0L8GV1TURKC6WSZ9,1994,Opel,Corsa,deportivo,55424859-B
9638 LPD,W0LTK0572ML7S5N75,2021,Opel,Corsa,urbanos,55424859-B
4782 LMX,TMAH6NBNMM47TF7AU,2021,Hyundai,Tucson,SUV,96000063-H
4297 LNN,WVW9XJUHKMJY6FGN1,2021,Volkswagen,Polo,urbanos,96000063-H
2321 MPL,VSS7HEVCHRX65GWFA,2024,SEAT,León,berlina,15013286-J
6285 KCH,WDB44AUH8HM58SUTC,2017,Mercedes-Benz,Clase A,deportivo,15013286-J
7205 DLD,VSSAPMXDZ5RM4V8YX,2005,SEAT,León,berlina,15013286-J
4558 MDS,ZFARJ88EUPZ40C3YV,2023,Fiat,Panda,urbanos,21906210-K
1904 MKR,VF37SANEHPRVM7373,2023,Peugeot,3008,SUV,21906210-K
H-5229-XA,WDB1TCXTLVVARHLGP,1997,Mercedes-Benz,Clase A,compacto,21906210-K
2971 CKB,TMB0A96Y13BE2DV5A,2003,Skoda,Octavia,berlina,13742957-C
5611 KBM,SJNH7M704H1SBRGE8,2017,Nissan,Micra,deportivo,94754136-R
2736 BRT,SB1D130B01XRVKFVZ,2001,Toyota,RAV4,SUV,82945736-P
8944 HJM,KNA8SYB01C188LTYC,2012,Kia,Ceed,compacto,82945736-P
5964 JYT,WBAE09NFXH6EHYE09,2017,BMW,X3,SUV,82945736-P
9016 MKR,JMBSZ2KBWPYCN2KL2,2023,Mitsubishi,Eclipse Cross,SUV,60196628-Q
7346 BRB,WVWBRRULR1ER7TJ08,2001,Volkswagen,Golf,descapotable,60196628-Q
1667 DMJ,SB1H8WX995144EHAL,2005,Toyota,Corolla,compacto,51226444-Q
7722 CVR,VF7ZW36B1418KFHZ6,2004,Citroën,C4,compacto,47802890-N
4864 MYF,WBAJZ7RZLS2YUGLNX,2025,BMW,Serie 3,cupé,60659436-H
4760 BFJ,SB13BVGC71XTSLPDV,2001,Toyota,Corolla,compacto,60659436-H
9518 MDS,WVWAJ1CU9P1VE0UAU,2023,Volkswagen,Polo,deportivo,60659436-H
7880 LWD,TMBXTNXEUN6VBB8HB,2022,Skoda,Karoq,SUV,17228557-Q
1778 NFC,WVWTLZN3KS5RDFFR0,2025,Volkswagen,Polo,urbanos,17228557-Q
NA-7768-KW,W0L12EN8XTC83LZG6,1996,Opel,Corsa,urbanos,16521766-S
M-7262-RP,ZFANLFEX6RXT3KBEJ,1994,Fiat,Panda,urbanos,16521766-S
4556 FGF,YV1JVLNGF63MJH8UR,2006,Volvo,V40,compacto,93199590-W
6711 BYP,SJNM19X522AET2Z6X,2002,Nissan,X-Trail,SUV,93199590-W
PO-9877-OX,ZFA6CFUZVL4HRUA05,1990,Fiat,Panda,urbanos,93199590-W
9377 BPG,VSS9DT4D81XK3GP9F,2001,SEAT,León,berlina,81123244-J
9021 GWV,WVW6C4KJZA8K93RS0,2010,Volkswagen,Tiguan,SUV,81123244-J
4451 DVW,JMZVEFLAX6UCF3XK4,2006,Mazda,Mazda 3,deportivo,75645985-C
4377 KPS,WVWGHFBYSJ5WFY27G,2018,Volkswagen,Passat,sedán,32974809-P
CE-1505-BS,VF1AU4K34MJMRJ8SE,1991,Renault,Clio,deportivo,32974809-P
6097 BGF,VF1E3LHMK1G5JXWBW,2001,Renault,Clio,deportivo,44669792-C
6534 MJR,VF3N0AA82PJFUM5AG,2023,Peugeot,3008,SUV,44669792-C
8410 KNK,W0L2FU5ZSJLHDRWBJ,2018,Opel,Insignia,sedán,44669792-C
P-8503-VQ,W0LVV3VG8RU8CUW3C,1994,Opel,Corsa,urbanos,16233666-J
BA-6358-GK,VSSWWH7JPW14N8S7N,1998,SEAT,Ibiza,urbanos,16233666-J
4130 FNZ,SB1PS5SXS778158JA,2007,Toyota,RAV4,SUV,91905414-J
V-4229-EM,SJNAEBX1XLFA4LPJJ,1990,Nissan,Micra,urbanos,64394885-Z
3180 HLK,KNAFNGPBZCR30JR6X,2012,Kia,Rio,urbanos,68794216-C
5124 HZB,WF003PN93E54MXBK3,2014,Ford,Mondeo,berlina,50710522-F
SA-7251-EI,WVWTNB7N1M923GPAC,1991,Volkswagen,Passat,sedán,38043980-W
6416 MTW,TMATKY5UTR91M1LS7,2024,Hyundai,Tucson,SUV,38043980-W
4072 DPK,WBA5MAN035RX5Y9WC,2005,BMW,Serie 1,deportivo,38043980-W
1874 GYX,WF04JPR9FAGB41CWB,2010,Ford,Kuga,SUV,28029240-Z
2373 MLY,TMA51M5SXPNWGC5BZ,2023,Hyundai,i30,deportivo,28029240-Z
4611 DDG,YV1C60M424E475YZG,2004,Volvo,V40,compacto,28029240-Z
5247 LMC,TMBTF4SSFLESL7WP3,2020,Skoda,Fabia,urbanos,87241696-M
7210 JTR,TMBLBYWUJGF3CK0DP,2016,Skoda,Octavia,berlina,87241696-M
S-6890-IV,SB1SJ4WSEL36D0SP1,1990,Toyota,Corolla,compacto,87241696-M
5973 FFK,WF0L6MK516P0D7XB7,2006,Ford,Fiesta,deportivo,65995093-C
2598 NDG,SJNTZEW9KSWVGZ9S5,2025,Nissan,Qashqai,SUV,23020458-B
1721 DVB,SB1H5V8MU51JJ2375,2005,Toyota,Yaris,urbanos,23020458-B
1555 MXP,TMAT10HFSR6N5S2T3,2024,Hyundai,i30,deportivo,92608914-N
7596 CDC,W0LWH93Z72XM4BVUY,2002,Opel,Astra,deportivo,94821725-Q
2905 KDK,WBALNW15CH66H49B0,2017,BMW,X1,SUV,94821725-Q
BU-8474-IK,TMBDXS5R5VH8LXD1V,1997,Skoda,Octavia,compacto,94821725-Q
LE-8736-TL,VSS3X5XDTTUE8PF9P,1996,SEAT,Ibiza,urbanos,19878933-X
Z-4793-QE,VF19CXEVVR9NDC3CT,1994,Renault,Clio,urbanos,37289918-H
TO-9579-ZM,VF75Z3MBZWB8173TZ,1998,Citroën,Berlingo,todoterreno,37289918-H
6588 JCK,UU1ZGDEY8FMYCVRHH,2015,Dacia,Lodgy,monovolumen,37289918-H
4384 HRK,JMZV5URRTDSUTHW1T,2013,Mazda,Mazda 2,urbanos,77969064-F
5286 BDR,TMBG44PN7YTKVB82B,2000,Skoda,Fabia,urbanos,45370708-B
4442 BCD,ZFA6L7TNFY178MG4E,2000,Fiat,Panda,urbanos,84393970-R
7326 DHZ,WF05SF0WN5W5UD6RW,2005,Ford,Fiesta,urbanos,19486431-A
7944 GWC,SB1SPY5CWAGGHCYGK,2010,Toyota,Corolla,compacto,30724570-C
8879 CRV,WDBRLX2MV4K8E9TVJ,2004,Mercedes-Benz,Clase A,deportivo,54412968-M
1652 NGB,VF39DK2A1STCWUB60,2025,Peugeot,3008,SUV,99103859-X
M-6018-DK,YV1KXWW3DW1KSZ7RA,1998,Volvo,V40,compacto,99103859-X
5958 HTK,WDB1CG3J1DDZMPKCN,2013,Mercedes-Benz,Clase C,descapotable,99103859-X
8899 JYB,ZFASSXSKVH8ETXDP0,2017,Fiat,Panda,urbanos,57103619-R
5211 LNN,SB1XT9E1ZM8GX91CH,2021,Toyota,RAV4,todoterreno,57103619-R
SS-7284-CY,WBA77X3Z9R9351J0U,1994,BMW,Serie 3,descapotable,57103619-R
4408 KRJ,JMZSFW48BJFRBWEEY,2018,Mazda,Mazda 2,urbanos,88150212-K
4165 MYW,W0LSF5MDLSVSP3LUH,2025,Opel,Corsa,urbanos,88150212-K
2200 DNP,VF1PFUBVJ5CRSF9CD,2005,Renault,Laguna,sedán,88150212-K
9903 BGF,TMB8A42TU1CNX4UUA,2001,Skoda,Octavia,compacto,12020645-V
1214 LCY,WDBJN69RCKF769XGY,2019,Mercedes-Benz,GLA,SUV,12020645-V
SA-6241-LK,WBAVWB7GHM2A4M6CM,1991,BMW,Serie 3,berlina,12020645-V
4399 DYY,WBAM6HVCG6B2VXG8C,2006,BMW,Serie 1,deportivo,88815959-X
3960 NBL,TMBFEHXT6SVSZ1TC7,2025,Skoda,Fabia,urbanos,88815959-X
4427 MDS,WBAF9LFZ8PHKZAW8J,2023,BMW,X3,SUV,50513670-N
GC-5326-EV,WDBS4KV8MRRCDLNG9,1994,Mercedes-Benz,Clase C,cupé,80071608-Y
3981 HDR,TMACUNK0SBRZW81F8,2011,Hyundai,Tucson,SUV,80071608-Y
4499 MYF,KNASS77MJSUKNYP0H,2025,Kia,Ceed,deportivo,33770052-A
8999 BVW,VF1EGD34X2JA8FEVU,2002,Renault,Clio,urbanos,33770052-A
3369 BBJ,WBA7DCX3NY6NRH3BD,2000,BMW,Serie 3,cupé,85872290-L
6844 HPC,JMZFGXAF0D9MGZP5L,2013,Mazda,Mazda 2,urbanos,85872290-L
3707 CSS,VF10N5YDD4KCNGRH0,2004,Renault,Clio,deportivo,18578627-D
6073 BFJ,WAUC65G0L1X396RTU,2001,Audi,A3,deportivo,18578627-D
H-2891-LS,WDBLUDLD6RTBSVRE5,1994,Mercedes-Benz,Clase C,cupé,18578627-D
7258 GLP,WVWK92MRB95P4Y2XL,2009,Volkswagen,Polo,urbanos,82420376-Z
CU-1063-CL,W0LD0Z9CHN2HKZLGB,1992,Opel,Corsa,deportivo,82420376-Z
8136 FTP,KNA53TZWP72Y5601T,2007,Kia,Sportage,SUV,82420376-Z
1144 GPW,JMBRPFEFR9MES26MS,2009,Mitsubishi,Outlander,SUV,59252453-Z
T-3625-VC,SB1DALDH2NZ4E7T2T,1992,Toyota,Corolla,compacto,59252453-Z
3286 KHG,SB1ZPZD3CJRF2VCKU,2018,Toyota,Corolla,sedán,88397429-B
VA-4963-CU,WVWBUZ7SKM5EZ4R98,1991,Volkswagen,Golf,descapotable,88397429-B
P-3600-XP,WF0WXBYZUTEU9DNBB,1996,Ford,Fiesta,urbanos,48018805-A
CS-4716-UP,VF1M6J06MWM17C220,1998,Renault,Mégane,deportivo,48018805-A
5332 BTZ,WBA1WV63N2500LYNX,2002,BMW,Serie 3,descapotable,48018805-A
TF-1532-KK,YV1J59PMGTH58XEVP,1996,Volvo,V40,compacto,91943919-Q
5391 MLH,TMAY60XY3P3414BJ1,2023,Hyundai,i30,compacto,91943919-Q
8599 LVD,KNAK0WVE1ME5D4RH6,2021,Kia,Stonic,SUV,98976789-S
5382 LML,VSSXDX896M7C720MP,2021,SEAT,León,deportivo,98976789-S
GR-9936-WY,WVW4M7N0GRB59C04S,1994,Volkswagen,Polo,deportivo,98976789-S
BI-8864-KR,WVWFX42LVXUCFDL6R,1999,Volkswagen,Polo,urbanos,33679074-J
CA-6098-EY,WVW8N2A46T9M16F1K,1996,Volkswagen,Golf,deportivo,33679074-J
8644 GMN,WF01N0C3V9RP292TE,2009,Ford,Kuga,SUV,33679074-J
PM-6265-OJ,WVW0N5ZE2ML4HVBXL,1991,Volkswagen,Golf,deportivo,85965860-W
3394 BBJ,WF06YXJ5JYSEC0DVX,2000,Ford,Mondeo,berlina,85965860-W
MU-6730-JP,WDBVE8049T6UNBRD8,1996,Mercedes-Benz,Clase C,deportivo,51218519-A
5037 KLN,TMAULFEBHJBUNE8RH,2018,Hyundai,i30,compacto,40774667-Z
4089 KNK,VF7ZJA4CTJ05AN8JS,2018,Citroën,C3,urbanos,25795916-J
3303 MJB,SB18H729UPXRGP0Z8,2023,Toyota,Corolla,sedán,25795916-J
6663 GMC,VF1R9DBUH9C0KD9CE,2009,Renault,Clio,urbanos,25795916-J
2896 GPJ,SJNF35VE19USF9T6G,2009,Nissan,Micra,deportivo,69786478-Q
4527 LTP,W0LF7AH7CMR7M88FA,2021,Opel,Astra,deportivo,12964719-X
1029 DFF,WBATVHKXN4K7TWJ4P,2004,BMW,X3,SUV,92304799-A
4006 HGX,WVWAAGKEJBK9E0VFD,2011,Volkswagen,Golf,descapotable,92304799-A
ML-7270-RV,W0L7USCA8X6U1W809,1999,Opel,Corsa,urbanos,86615730-F
6808 KCV,VSSN7XSLYH6WZW9WF,2017,SEAT,León,compacto,86615730-F
4829 DNP,JMZM2EK2S5KU3208J,2005,Mazda,Mazda 2,urbanos,14376178-M
GI-2201-TI,W0LSC49YRLR1SHWE9,1990,Opel,Corsa,deportivo,47622082-F
MA-9434-WQ,WAU5CRA8EXSN2FF6N,1999,Audi,A3,descapotable,96219307-A
4093 CVR,TMBYXAXST4F78UVW0,2004,Skoda,Fabia,urbanos,96219307-A
5457 FHD,WAUTN3ALS6HEXUC31,2006,Audi,A3,compacto,44945113-P
2243 HRX,KNAM17S8GDKYBWLNK,2013,Kia,Rio,urbanos,44945113-P
9718 CKB,JMBLYL54K30ELLY99,2003,Mitsubishi,Outlander,todoterreno,44945113-P
3157 HKX,YV1F9HBBWCBEMTTHB,2012,Volvo,V40,compacto,54476079-G
9980 JVH,YV12HL4UGGZEEBJF9,2016,Volvo,XC60,SUV,54476079-G
CE-7562-MH,W0LMM7Z5LMS06H0EA,1991,Opel,Corsa,urbanos,54476079-G
